Name,Gender,Number of newborns
MARIE,female,2234998
JEAN,male,1918735
PIERRE,male,890612
MICHEL,male,820224
ANDRÉ,male,711946
JEANNE,female,554298
PHILIPPE,male,538293
RENÉ,male,516485
LOUIS,male,513403
ALAIN,male,506839
JACQUES,male,482568
BERNARD,male,469282
MARCEL,male,467464
DANIEL,male,434416
ROGER,male,423721
ROBERT,male,419164
PAUL,male,413349
CLAUDE,male,411740
CHRISTIAN,male,405328
HENRI,male,404974
GEORGES,male,404474
NICOLAS,male,404000
FRANÇOISE,female,401527
MONIQUE,female,399843
FRANÇOIS,male,398413
PATRICK,male,395033
CATHERINE,female,394680
NATHALIE,female,382844
GÉRARD,male,379448
ISABELLE,female,377892
CHRISTOPHE,male,375932
JOSEPH,male,374277
JACQUELINE,female,372550
ANNE,female,364946
SYLVIE,female,364648
JULIEN,male,343872
MAURICE,male,337191
LAURENT,male,328407
FRÉDÉRIC,male,327799
MARTINE,female,320193
ERIC,male,317966
DAVID,male,311803
STÉPHANE,male,308305
PASCAL,male,307809
MADELEINE,female,304316
SÉBASTIEN,male,303751
ALEXANDRE,male,298580
NICOLE,female,293397
THIERRY,male,289522
SUZANNE,female,288437
HÉLÈNE,female,280852
CHRISTINE,female,280573
OLIVIER,male,279826
THOMAS,male,276181
ANTOINE,male,274277
RAYMOND,male,272856
MARGUERITE,female,271093
GUY,male,265739
DENISE,female,263380
LOUISE,female,260231
CHRISTIANE,female,259528
YVONNE,female,257047
VALÉRIE,female,253083
SOPHIE,female,244902
DOMINIQUE,male,241880
SANDRINE,female,240264
CHARLES,male,239573
STÉPHANIE,female,238571
CÉLINE,female,238240
DIDIER,male,237167
MARC,male,237073
VÉRONIQUE,female,235762
CHANTAL,female,232208
VINCENT,male,232035
MARCELLE,female,229399
YVES,male,229369
GUILLAUME,male,222369
RENÉE,female,221869
BRUNO,male,220490
SIMONE,female,219913
SERGE,male,219103
JEANNINE,female,218680
MAXIME,male,217413
ANDRÉE,female,215519
LUCIEN,male,214528
JEAN-PIERRE,male,213557
PAULETTE,female,213450
JULIE,female,213411
GERMAINE,female,211121
ANNIE,female,210130
PATRICIA,female,207368
ALBERT,male,204100
YVETTE,female,203493
BRIGITTE,female,202578
LUCIE,female,201258
CAMILLE,female,199819
LÉA,female,194264
ODETTE,female,192636
EMILIE,female,192061
ROMAIN,male,191493
